*Vertices 5301
124439362 "E13_real"
124578978 "E13_real"
125088832 "E13_real"
126727689 "E13_real"
126737626 "E13_real"
128587032 "E13_real"
129214047 "E13_real"
129586152 "E13_real"
130766020 "E13_real"
131435310 "E13_real"
132104173 "E13_real"
132128902 "E13_real"
132182052 "E13_real"
132621562 "E13_real"
132888488 "E13_real"
132983450 "E13_real"
133447001 "E13_real"
134526134 "E13_real"
134803800 "E13_real"
135111235 "E13_real"
135248338 "E13_real"
135441917 "E13_real"
135525784 "E13_real"
135894129 "E13_real"
136622745 "E13_real"
136692380 "E13_real"
137390297 "E13_real"
138322603 "E13_real"
138438793 "E13_real"
138529938 "E13_real"
138867555 "E13_real"
140030010 "E13_real"
140191830 "E13_real"
140410819 "E13_real"
141669233 "E13_real"
142238323 "E13_real"
142335653 "E13_real"
143990497 "E13_real"
144207876 "E13_real"
144305807 "E13_real"
145748083 "E13_real"
146093361 "E13_real"
148536610 "E13_real"
149278846 "E13_real"
150026364 "E13_real"
150307637 "E13_real"
150983977 "E13_real"
151590831 "E13_real"
151602547 "E13_real"
151832482 "E13_real"
153094652 "E13_real"
153324815 "E13_real"
154267358 "E13_real"
154624409 "E13_real"
155845161 "E13_real"
157290467 "E13_real"
158859711 "E13_real"
159923003 "E13_real"
159931202 "E13_real"
160466484 "E13_real"
160883386 "E13_real"
161612145 "E13_real"
161845690 "E13_real"
163025432 "E13_real"
163354973 "E13_real"
163425928 "E13_real"
163932767 "E13_real"
164074870 "E13_real"
165042220 "E13_real"
165751518 "E13_real"
166094049 "E13_real"
168422352 "E13_real"
168761446 "E13_real"
170352080 "E13_real"
170384943 "E13_real"
170642321 "E13_real"
170649757 "E13_real"
170745775 "E13_real"
171422343 "E13_real"
173006814 "E13_real"
173164569 "E13_real"
173662542 "E13_real"
173788566 "E13_real"
174747861 "E13_real"
174762418 "E13_real"
176362396 "E13_real"
178507135 "E13_real"
181191549 "E13_real"
181477746 "E13_real"
182342223 "E13_real"
183148817 "E13_real"
183149280 "E13_real"
183201799 "E13_real"
183559621 "E13_real"
184102704 "E13_real"
184812764 "E13_real"
185390609 "E13_real"
187185454 "E13_real"
187491410 "E13_real"
189179659 "E13_real"
189263728 "E13_real"
190225727 "E13_real"
190569663 "E13_real"
190591610 "E13_real"
191391803 "E13_real"
191781461 "E13_real"
193657123 "E13_real"
193786482 "E13_real"
194232740 "E13_real"
194896850 "E13_real"
195322597 "E13_real"
195413637 "E13_real"
196514953 "E13_real"
196852073 "E13_real"
197027748 "E13_real"
197336556 "E13_real"
197347453 "E13_real"
198136015 "E13_real"
198196003 "E13_real"
198418075 "E13_real"
198678682 "E13_real"
199147059 "E13_real"
199597851 "E13_real"
200293129 "E13_real"
200482073 "E13_real"
201012406 "E13_real"
202244649 "E13_real"
202555952 "E13_real"
203107523 "E13_real"
204299339 "E13_real"
204480603 "E13_real"
206615715 "E13_real"
209128079 "E13_real"
209559462 "E13_real"
209733883 "E13_real"
210459173 "E13_real"
210483287 "E13_real"
210514893 "E13_real"
211487690 "E13_real"
211904475 "E13_real"
212175167 "E13_real"
212292079 "E13_real"
212724606 "E13_real"
212953427 "E13_real"
213061611 "E13_real"
215216086 "E13_real"
216361529 "E13_real"
216790973 "E13_real"
217350735 "E13_real"
218071279 "E13_real"
218092490 "E13_real"
219346690 "E13_real"
219617010 "E13_real"
221173559 "E13_real"
221690177 "E13_real"
221742699 "E13_real"
223533298 "E13_real"
223840972 "E13_real"
225045616 "E13_real"
225323618 "E13_real"
226197498 "E13_real"
226964193 "E13_real"
227817668 "E13_real"
228056042 "E13_real"
228306355 "E13_real"
228708687 "E13_real"
229298733 "E13_real"
229758375 "E13_real"
231058132 "E13_real"
231377654 "E13_real"
232560751 "E13_real"
233245609 "E13_real"
233287464 "E13_real"
234715592 "E13_real"
235303172 "E13_real"
237747438 "E13_real"
238107344 "E13_real"
240346934 "E13_real"
242064566 "E13_real"
242123621 "E13_real"
242301103 "E13_real"
242319331 "E13_real"
242341704 "E13_real"
243891976 "E13_real"
244625605 "E13_real"
245306807 "E13_real"
245430145 "E13_real"
245953131 "E13_real"
245970658 "E13_real"
246208736 "E13_real"
246886628 "E13_real"
249122012 "E13_real"
249692862 "E13_real"
250171190 "E13_real"
250842076 "E13_real"
250851165 "E13_real"
251313896 "E13_real"
251500925 "E13_real"
252516822 "E13_real"
252686122 "E13_real"
253281330 "E13_real"
254558097 "E13_real"
255656786 "E13_real"
256598881 "E13_real"
256689270 "E13_real"
257399906 "E13_real"
258762800 "E13_real"
259160079 "E13_real"
259428725 "E13_real"
259773527 "E13_real"
259894552 "E13_real"
259934562 "E13_real"
260636096 "E13_real"
260693820 "E13_real"
261223538 "E13_real"
262100774 "E13_real"
262165317 "E13_real"
262199092 "E13_real"
262235136 "E13_real"
262328083 "E13_real"
262898875 "E13_real"
263278290 "E13_real"
264333523 "E13_real"
264801154 "E13_real"
265419912 "E13_real"
265529493 "E13_real"
268773741 "E13_real"
269535022 "E13_real"
270472440 "E13_real"
271032827 "E13_real"
272876921 "E13_real"
273686840 "E13_real"
274536794 "E13_real"
279139861 "E13_real"
279147035 "E13_real"
279211405 "E13_real"
279461605 "E13_real"
279557700 "E13_real"
279644158 "E13_real"
282738890 "E13_real"
283521316 "E13_real"
283906965 "E13_real"
284481700 "E13_real"
284657297 "E13_real"
285724171 "E13_real"
286790717 "E13_real"
286798567 "E13_real"
287557719 "E13_real"
288148846 "E13_real"
288798453 "E13_real"
289859824 "E13_real"
290723075 "E13_real"
290734286 "E13_real"
291290779 "E13_real"
291314239 "E13_real"
291403211 "E13_real"
292565648 "E13_real"
292577710 "E13_real"
292912980 "E13_real"
293394867 "E13_real"
295168932 "E13_real"
295788103 "E13_real"
295961505 "E13_real"
296876973 "E13_real"
296999433 "E13_real"
298018338 "E13_real"
298459779 "E13_real"
298489056 "E13_real"
299837277 "E13_real"
299837762 "E13_real"
300796010 "E13_real"
300838107 "E13_real"
302114763 "E13_real"
305386550 "E13_real"
305553835 "E13_real"
305551682 "E13_real"
307790129 "E13_real"
308151060 "E13_real"
308672071 "E13_real"
309800578 "E13_real"
310250028 "E13_real"
310401703 "E13_real"
310496499 "E13_real"
311394394 "E13_real"
311505461 "E13_real"
314030119 "E13_real"
314922007 "E13_real"
315436528 "E13_real"
318661130 "E13_real"
319054277 "E13_real"
319091474 "E13_real"
320880780 "E13_real"
321266890 "E13_real"
321281383 "E13_real"
321425967 "E13_real"
322587980 "E13_real"
323379897 "E13_real"
323809354 "E13_real"
323937090 "E13_real"
324440293 "E13_real"
325551297 "E13_real"
326054560 "E13_real"
327397233 "E13_real"
327510902 "E13_real"
329008715 "E13_real"
329103684 "E13_real"
330202919 "E13_real"
330327779 "E13_real"
331312863 "E13_real"
331875962 "E13_real"
332389973 "E13_real"
332699729 "E13_real"
335208230 "E13_real"
335832794 "E13_real"
335837698 "E13_real"
336406661 "E13_real"
337161930 "E13_real"
338284756 "E13_real"
339058002 "E13_real"
340346783 "E13_real"
340364061 "E13_real"
340396112 "E13_real"
340951450 "E13_real"
341339579 "E13_real"
343307517 "E13_real"
343473585 "E13_real"
344525772 "E13_real"
346829273 "E13_real"
347274232 "E13_real"
348430064 "E13_real"
348981732 "E13_real"
349204176 "E13_real"
349626625 "E13_real"
349929809 "E13_real"
350160058 "E13_real"
350244854 "E13_real"
350791585 "E13_real"
351555225 "E13_real"
353011489 "E13_real"
353768504 "E13_real"
354796858 "E13_real"
354818247 "E13_real"
355600495 "E13_real"
357129429 "E13_real"
358733502 "E13_real"
359926634 "E13_real"
360547500 "E13_real"
361097511 "E13_real"
361746019 "E13_real"
361784332 "E13_real"
362993719 "E13_real"
363251033 "E13_real"
363830865 "E13_real"
364111442 "E13_real"
364277230 "E13_real"
364323869 "E13_real"
364776732 "E13_real"
364805437 "E13_real"
364851614 "E13_real"
365372541 "E13_real"
365383515 "E13_real"
365440652 "E13_real"
365622635 "E13_real"
365665311 "E13_real"
366116632 "E13_real"
367240411 "E13_real"
368540321 "E13_real"
368579486 "E13_real"
369537903 "E13_real"
370193929 "E13_real"
370625229 "E13_real"
370850929 "E13_real"
373579998 "E13_real"
373947833 "E13_real"
374062715 "E13_real"
374488191 "E13_real"
375209946 "E13_real"
376425777 "E13_real"
376677633 "E13_real"
376705770 "E13_real"
377304816 "E13_real"
377389027 "E13_real"
377914761 "E13_real"
378009515 "E13_real"
379114417 "E13_real"
379260334 "E13_real"
380015773 "E13_real"
380172348 "E13_real"
380319760 "E13_real"
381030516 "E13_real"
381666513 "E13_real"
381950248 "E13_real"
381960133 "E13_real"
382178634 "E13_real"
382271109 "E13_real"
383292062 "E13_real"
383387954 "E13_real"
383825758 "E13_real"
384753006 "E13_real"
384932218 "E13_real"
385868840 "E13_real"
386034126 "E13_real"
386779723 "E13_real"
387718926 "E13_real"
387971079 "E13_real"
388348486 "E13_real"
388842116 "E13_real"
389400082 "E13_real"
389652102 "E13_real"
389715862 "E13_real"
390428793 "E13_real"
390730174 "E13_real"
390759955 "E13_real"
390972554 "E13_real"
391362651 "E13_real"
391526633 "E13_real"
391572279 "E13_real"
391614396 "E13_real"
391924068 "E13_real"
392210280 "E13_real"
392247237 "E13_real"
392676979 "E13_real"
393628023 "E13_real"
393980520 "E13_real"
394004577 "E13_real"
394007331 "E13_real"
394217175 "E13_real"
394233142 "E13_real"
394628127 "E13_real"
394726610 "E13_real"
394814291 "E13_real"
395014721 "E13_real"
396173375 "E13_real"
396462550 "E13_real"
396515695 "E13_real"
396618509 "E13_real"
396625283 "E13_real"
396796142 "E13_real"
396898731 "E13_real"
396900261 "E13_real"
397236414 "E13_real"
397320325 "E13_real"
397324373 "E13_real"
397534181 "E13_real"
397629967 "E13_real"
398090733 "E13_real"
398442529 "E13_real"
399484359 "E13_real"
399572723 "E13_real"
400300086 "E13_real"
400546232 "E13_real"
400748069 "E13_real"
401423776 "E13_real"
401502696 "E13_real"
402866477 "E13_real"
402955893 "E13_real"
402979897 "E13_real"
403461794 "E13_real"
403766373 "E13_real"
404069171 "E13_real"
404987270 "E13_real"
405035087 "E13_real"
405140479 "E13_real"
405418046 "E13_real"
405574548 "E13_real"
406165467 "E13_real"
406162937 "E13_real"
406907214 "E13_real"
406962616 "E13_real"
407024811 "E13_real"
407101499 "E13_real"
407689676 "E13_real"
407844335 "E13_real"
407964674 "E13_real"
408087080 "E13_real"
408348854 "E13_real"
408466988 "E13_real"
409118790 "E13_real"
410044683 "E13_real"
410719897 "E13_real"
410941537 "E13_real"
411386883 "E13_real"
411410885 "E13_real"
412112516 "E13_real"
412145728 "E13_real"
412240393 "E13_real"
412325725 "E13_real"
412601262 "E13_real"
413233876 "E13_real"
413255529 "E13_real"
413269532 "E13_real"
413296140 "E13_real"
413332388 "E13_real"
413917055 "E13_real"
414966228 "E13_real"
415021649 "E13_real"
415063303 "E13_real"
415073613 "E13_real"
415630833 "E13_real"
415900150 "E13_real"
416157197 "E13_real"
416194495 "E13_real"
416351352 "E13_real"
416502198 "E13_real"
417190929 "E13_real"
417280214 "E13_real"
417735070 "E13_real"
417770099 "E13_real"
417807946 "E13_real"
417833332 "E13_real"
418024172 "E13_real"
418046391 "E13_real"
418140622 "E13_real"
418153325 "E13_real"
418247241 "E13_real"
418584043 "E13_real"
418641071 "E13_real"
418762910 "E13_real"
418986680 "E13_real"
419519797 "E13_real"
419617449 "E13_real"
419617600 "E13_real"
419672622 "E13_real"
420253558 "E13_real"
420995289 "E13_real"
421002902 "E13_real"
421346603 "E13_real"
421847529 "E13_real"
422807985 "E13_real"
422830732 "E13_real"
423021992 "E13_real"
423613846 "E13_real"
424265380 "E13_real"
424273053 "E13_real"
425223279 "E13_real"
425263052 "E13_real"
425380217 "E13_real"
425759519 "E13_real"
425840466 "E13_real"
425908255 "E13_real"
426044579 "E13_real"
426178907 "E13_real"
426531620 "E13_real"
427676471 "E13_real"
427674701 "E13_real"
428117425 "E13_real"
428202366 "E13_real"
428261162 "E13_real"
428263137 "E13_real"
428384851 "E13_real"
428904234 "E13_real"
428981185 "E13_real"
429262110 "E13_real"
429718007 "E13_real"
429808930 "E13_real"
432377556 "E13_real"
432624274 "E13_real"
433162117 "E13_real"
433304048 "E13_real"
433319326 "E13_real"
433546930 "E13_real"
433627975 "E13_real"
433984610 "E13_real"
434460614 "E13_real"
434591482 "E13_real"
434731905 "E13_real"
434826176 "E13_real"
434832805 "E13_real"
435224000 "E13_real"
435269515 "E13_real"
435327100 "E13_real"
435724709 "E13_real"
436612105 "E13_real"
436807160 "E13_real"
436961762 "E13_real"
437007483 "E13_real"
437363242 "E13_real"
437456557 "E13_real"
437783167 "E13_real"
438437579 "E13_real"
438484498 "E13_real"
438760662 "E13_real"
438756932 "E13_real"
439054192 "E13_real"
439062828 "E13_real"
718684188 "E13_real"
478994018 "E13_real"
984297403 "E13_real"
551056105 "E13_real"
439855752 "E13_real"
439875805 "E13_real"
479451474 "E13_real"
439972535 "E13_real"
440184518 "E13_real"
479677768 "E13_real"
440311767 "E13_real"
479725767 "E13_real"
722214212 "E13_real"
985509799 "E13_real"
551835101 "E13_real"
440691931 "E13_real"
551894180 "E13_real"
479832822 "E13_real"
986163288 "E13_real"
440858782 "E13_real"
722825599 "E13_real"
480279324 "E13_real"
552190256 "E13_real"
441483457 "E13_real"
986839782 "E13_real"
552577697 "E13_real"
552606214 "E13_real"
987068240 "E13_real"
442075220 "E13_real"
725675244 "E13_real"
480715104 "E13_real"
480790768 "E13_real"
726845964 "E13_real"
987656269 "E13_real"
553617306 "E13_real"
481632109 "E13_real"
481648575 "E13_real"
988985683 "E13_real"
444833485 "E13_real"
482086639 "E13_real"
554309481 "E13_real"
482131412 "E13_real"
482157356 "E13_real"
482162835 "E13_real"
731429204 "E13_real"
445345005 "E13_real"
482242692 "E13_real"
989622720 "E13_real"
989639142 "E13_real"
445761780 "E13_real"
446083368 "E13_real"
446143453 "E13_real"
733154665 "E13_real"
482981498 "E13_real"
446590484 "E13_real"
734619301 "E13_real"
483073065 "E13_real"
446987691 "E13_real"
991254878 "E13_real"
555420716 "E13_real"
447241184 "E13_real"
555906816 "E13_real"
483836463 "E13_real"
737616414 "E13_real"
484179231 "E13_real"
556794851 "E13_real"
484613799 "E13_real"
993583230 "E13_real"
557215750 "E13_real"
449219266 "E13_real"
485137549 "E13_real"
743284770 "E13_real"
557616612 "E13_real"
450054622 "E13_real"
744107612 "E13_real"
995452020 "E13_real"
485686619 "E13_real"
485713097 "E13_real"
450630648 "E13_real"
450747981 "E13_real"
450891761 "E13_real"
486198118 "E13_real"
451033303 "E13_real"
451370524 "E13_real"
451397835 "E13_real"
486598436 "E13_real"
558524379 "E13_real"
451597109 "E13_real"
486966473 "E13_real"
487416678 "E13_real"
750948720 "E13_real"
751241954 "E13_real"
452814756 "E13_real"
452828946 "E13_real"
453238264 "E13_real"
487969309 "E13_real"
753397160 "E13_real"
560223770 "E13_real"
1000486495 "E13_real"
560271082 "E13_real"
453885595 "E13_real"
488706826 "E13_real"
755737819 "E13_real"
454200724 "E13_real"
1001875776 "E13_real"
454318003 "E13_real"
560657748 "E13_real"
454914980 "E13_real"
1002533372 "E13_real"
489345934 "E13_real"
1003664215 "E13_real"
455266133 "E13_real"
455340385 "E13_real"
455651875 "E13_real"
455775628 "E13_real"
455979285 "E13_real"
761723172 "E13_real"
762202957 "E13_real"
1004883073 "E13_real"
562125685 "E13_real"
562250174 "E13_real"
1006095223 "E13_real"
456823762 "E13_real"
490625409 "E13_real"
765311754 "E13_real"
457775543 "E13_real"
491690867 "E13_real"
492177690 "E13_real"
564653953 "E13_real"
770176435 "E13_real"
492501987 "E13_real"
564963576 "E13_real"
459628045 "E13_real"
459646843 "E13_real"
459678083 "E13_real"
459680754 "E13_real"
1009413198 "E13_real"
1010619756 "E13_real"
566141260 "E13_real"
460985875 "E13_real"
493847017 "E13_real"
461010838 "E13_real"
566374197 "E13_real"
493941903 "E13_real"
494006512 "E13_real"
1011395167 "E13_real"
461425627 "E13_real"
494262961 "E13_real"
494266249 "E13_real"
567056353 "E13_real"
567155716 "E13_real"
567510788 "E13_real"
495045945 "E13_real"
495053365 "E13_real"
495077879 "E13_real"
462889040 "E13_real"
568453926 "E13_real"
462971394 "E13_real"
568473793 "E13_real"
495507361 "E13_real"
495731957 "E13_real"
568955495 "E13_real"
463246965 "E13_real"
1014830304 "E13_real"
496144150 "E13_real"
463889910 "E13_real"
496295496 "E13_real"
569879248 "E13_real"
496588802 "E13_real"
1015888195 "E13_real"
496968634 "E13_real"
464790896 "E13_real"
497125259 "E13_real"
464858061 "E13_real"
497258691 "E13_real"
497302053 "E13_real"
465298629 "E13_real"
1017813961 "E13_real"
465431316 "E13_real"
465433625 "E13_real"
571938412 "E13_real"
498042431 "E13_real"
498054058 "E13_real"
787115406 "E13_real"
498358491 "E13_real"
466489818 "E13_real"
466686655 "E13_real"
498814013 "E13_real"
466712165 "E13_real"
498826553 "E13_real"
466756548 "E13_real"
1020696912 "E13_real"
498935613 "E13_real"
1022226144 "E13_real"
573690882 "E13_real"
573749510 "E13_real"
791874462 "E13_real"
792462121 "E13_real"
792517914 "E13_real"
468198674 "E13_real"
499996521 "E13_real"
574385968 "E13_real"
500246041 "E13_real"
794406714 "E13_real"
574488060 "E13_real"
794598979 "E13_real"
795590899 "E13_real"
796144921 "E13_real"
501094162 "E13_real"
501128285 "E13_real"
469580096 "E13_real"
797833478 "E13_real"
470227974 "E13_real"
470232795 "E13_real"
470254611 "E13_real"
470379248 "E13_real"
502037826 "E13_real"
800130746 "E13_real"
800457696 "E13_real"
502315142 "E13_real"
470868745 "E13_real"
502774039 "E13_real"
1030992019 "E13_real"
1031110604 "E13_real"
503051163 "E13_real"
471093612 "E13_real"
801510450 "E13_real"
471203497 "E13_real"
1032386005 "E13_real"
503425054 "E13_real"
577422947 "E13_real"
1033055161 "E13_real"
471422290 "E13_real"
471533963 "E13_real"
471826933 "E13_real"
471992869 "E13_real"
578916985 "E13_real"
472765052 "E13_real"
472778739 "E13_real"
473043012 "E13_real"
506055335 "E13_real"
1037103888 "E13_real"
1037178583 "E13_real"
1037384052 "E13_real"
506501965 "E13_real"
581136968 "E13_real"
474043803 "E13_real"
581407038 "E13_real"
507498746 "E13_real"
1038384050 "E13_real"
1039093681 "E13_real"
813467726 "E13_real"
582954523 "E13_real"
509056809 "E13_real"
583205235 "E13_real"
509320296 "E13_real"
510047880 "E13_real"
1041823142 "E13_real"
1042842432 "E13_real"
476760491 "E13_real"
476800666 "E13_real"
585439502 "E13_real"
477006767 "E13_real"
1044916752 "E13_real"
512362882 "E13_real"
477309080 "E13_real"
585849333 "E13_real"
477552640 "E13_real"
512455607 "E13_real"
585968039 "E13_real"
477660093 "E13_real"
477824021 "E13_real"
1047668299 "E13_real"
586584556 "E13_real"
825336607 "E13_real"
513726022 "E13_real"
587326472 "E13_real"
587515464 "E13_real"
587569514 "E13_real"
1050665527 "E13_real"
827287514 "E13_real"
587665339 "E13_real"
1052685680 "E13_real"
829400054 "E13_real"
515271142 "E13_real"
831741072 "E13_real"
516038414 "E13_real"
834186096 "E13_real"
516737722 "E13_real"
516811154 "E13_real"
835249056 "E13_real"
835763546 "E13_real"
517073805 "E13_real"
517400735 "E13_real"
1058497004 "E13_real"
517883021 "E13_real"
838292834 "E13_real"
591104103 "E13_real"
1059054242 "E13_real"
841859053 "E13_real"
592579646 "E13_real"
1062916164 "E13_real"
593546714 "E13_real"
845102904 "E13_real"
1064278820 "E13_real"
1064992789 "E13_real"
594583577 "E13_real"
594651076 "E13_real"
594683175 "E13_real"
848909828 "E13_real"
522925470 "E13_real"
1065760964 "E13_real"
594960544 "E13_real"
523331583 "E13_real"
523680032 "E13_real"
595539789 "E13_real"
851233315 "E13_real"
524820621 "E13_real"
524836438 "E13_real"
852611210 "E13_real"
596540298 "E13_real"
1069178154 "E13_real"
597381176 "E13_real"
526482947 "E13_real"
855282331 "E13_real"
1070376564 "E13_real"
1070682204 "E13_real"
856270100 "E13_real"
1071137462 "E13_real"
857857747 "E13_real"
1072217274 "E13_real"
858190442 "E13_real"
528501469 "E13_real"
858836726 "E13_real"
599343100 "E13_real"
1074439423 "E13_real"
599940695 "E13_real"
600090702 "E13_real"
529563591 "E13_real"
529711103 "E13_real"
862068776 "E13_real"
862114981 "E13_real"
531280420 "E13_real"
601192738 "E13_real"
863369492 "E13_real"
601256893 "E13_real"
531442979 "E13_real"
531640494 "E13_real"
601810260 "E13_real"
602182097 "E13_real"
602212821 "E13_real"
1081092084 "E13_real"
533130509 "E13_real"
1082746016 "E13_real"
1082796816 "E13_real"
533552597 "E13_real"
1084115989 "E13_real"
603836322 "E13_real"
868645789 "E13_real"
868757713 "E13_real"
868906542 "E13_real"
535140940 "E13_real"
869587356 "E13_real"
535333357 "E13_real"
870391651 "E13_real"
1087095313 "E13_real"
605296679 "E13_real"
1089293960 "E13_real"
1089449275 "E13_real"
1090138922 "E13_real"
1091884188 "E13_real"
875972814 "E13_real"
538287562 "E13_real"
876501625 "E13_real"
608022298 "E13_real"
877925696 "E13_real"
878747629 "E13_real"
1095958825 "E13_real"
1096575422 "E13_real"
880855315 "E13_real"
609496197 "E13_real"
882148280 "E13_real"
540803768 "E13_real"
